UP,x,y
Culture de l'Entreprise et Modes Manageriaux,1,1
Visions et Strategie d’Entreprise,1,2
COMPOSANTES DE L'ENTREPRISE,1,3
Electronique Analogique ,1,5
Electronique Numerique ,1,6
CONCEPTS ET OUTILS DE L’ELECTRONIQUE,1,7
Algorithmique et Programmation,1,9
Systemes a Microcontroleurs,1,10
CONCEPTS ET OUTILS DE L'INFORMATIQUE,1,11
Developpement Relationnel,1,13
Stage Connaissance de l'Entreprise ,1,14
DECOUVERTE DE L'ENTREPRISE,1,15
Anglais,1,17
Allemand,1,18
Chinois,1,19
Espagnol,1,20
Japonais,1,21
Portugais,1,22
LANGUES S5,1,23
Projet Matlab - Introduction a la Robotique,1,25
Mathematiques et Traitement du Signal,1,26
Probabilites,1,27
OUTILS MATHEMATIQUES DE L'INGENIEUR,1,28
Projet Robot,1,30
Automatique lineaire,1,31
PROJET ROBOT S5,1,32
Decouverte des Enjeux Technologiques,2,1
DECOUVERTE DES ENJEUX TECHNOLOGIQUES,2,2
Algorithmique et Programmation,2,4
Graphes et Optimisation,2,5
Programmation Systeme,2,6
Challenge Optimisation,2,7
Reseaux TCP/IP,2,8
INFORMATIQUE,2,9
Projet ISA,2,11
Retour d'experience,2,12
INTELLIGENCE COLLECTIVE,2,13
Anglais,2,15
Allemand,2,16
Chinois,2,17
Espagnol,2,18
Japonais,2,19
Portugais,2,20
Divers Langues,2,21
LV2,2,22
LANGUES S6,2,23
International,2,25
Metiers,2,26
Secteurs,2,27
METIERS DE L'INGENIEUR,2,28
Interface Design,2,30
System Design,2,31
PROJET ROBOT S6,2,32
Experimentations en Labo,2,34
Physique Appliquee,2,35
Proprietes des Materiaux,2,36
Sciences du Vivant,2,37
SCIENCES DES MATERIAUX ET DU VIVANT,2,38
Electronique Analogique,2,40
Electronique Fondamentale,2,41
SYSTEMES ELECTRONIQUES S6,2,42
Anglais,3,1
Allemand,3,2
Chinois,3,3
Espagnol,3,4
Français,3,5
Japonais,3,6
Portugais,3,7
LANGUES S7,3,8
Gestion de Production et Logistique,3,10
Finance et Strategie,3,11
Gestion de Projet,3,12
MANAGEMENT DE L'ACTIVITE DE L'ENTREPRISE,3,13
Recherche d'Information et de Documentation,3,15
Communication,3,16
Contrat de prestations,3,17
Propriete intellectuelle,3,18
PROJET INDUSTRIEL - AVANT PROJET,3,19
Systemes a Microcontroleurs,3,21
Methode MCSE,3,22
Automatique et asservissements,3,23
Projet Robot,3,24
PROJET ROBOT S7,3,25
Architecture des Processeurs,3,27
Conception d'un Systeme Numerique,3,28
Introduction a la Cryptographie,3,29
SYSTEMES ELECTRONIQUES S7,3,30
Programmation Orientee Objet,3,32
Bases de Donnees,3,33
Machine Learning,3,34
Reseaux locaux d'entreprise,3,35
Modelisation UML,3,36
SYSTEMES INFORMATIQUES,3,37
Transmission Electromagnetique,3,39
Gestion d'Energie,3,40
Capteurs et Actionneurs,3,41
Transmission Sans Fils,3,42
TRANSMISSION CAPTEURS ENERGIE,3,43
Droit Industriel,4,1
Gestion de Projet,4,2
Gestion d'Equipe,4,3
GESTION DE PROJETS,4,4
Anglais,4,6
Allemand,4,7
Chinois,4,8
Espagnol,4,9
Français,4,10
Japonais,4,11
Portugais,4,12
Divers Langues,4,13
LV2,4,14
LANGUES S8,4,15
Conception detaillee,4,17
PROJET INDUSTRIEL - CONCEPTION DETAILLEE,4,18
Conception detaillee,4,20
Projet Industriel,4,21
Rapport,4,22
Recette,4,23
Soutenance,4,24
Suivi Technique,4,25
PROJET INDUSTRIEL - REALISATION,4,26
Elements Finis,4,28
Projet Prototypage,4,29
"SIMULATION, EXPERIMENTATION, PROTOTYPAGE",4,30
Stage,4,32
Fiche Synthetique,4,33
STAGE INTERNATIONAL,4,34
Visa Entrepreunariat,4,36
VISA ENTREPREUNARIAT,4,37
Enterprise Information Systems,5,1
Mobile Telecom,5,2
Discrete Simulation & Optimisation,5,3
Advanced Java,5,4
Database Applications,5,5
Database Design,5,6
Design of Mobile Applications ,5,7
COMPUTER SCIENCE,5,8
Embedded RTOS Applications,5,10
Embedded Linux,5,11
Multiplexing Bus Standards & Practice,5,12
IoT Platform Design,5,13
Embedded IA,5,14
FPGA Codesign Prototyping,5,15
VHDL Modeling and Synthesis,5,16
EMBEDDED SYSTEMS,5,17
Advanced Analog Circuit Design,5,19
Application Specific Circuit Design,5,20
Co-Design & Prototyping,5,21
Processor Architecture,5,22
VHDL Modeling & Synthesis,5,23
Analog Circuit Design Introduction,5,24
Digital Circuit Design,5,25
Manufacturing Processes & Characterisation Methods,5,26
Modeling & Characterization for Semiconductor Devices,5,27
Semiconductor Devices,5,28
Semiconductor Physics,5,29
MICROELECTRONICS DESIGN,5,30
Business Forum,5,32
e-Recruitment,5,33
Human Capital,5,34
Practice of Employment Contract,5,35
Recruitment Workshop,5,36
Negotiation,5,37
Professions overview,5,38
Methodologie de l'Intervention en Entreprise,5,39
ENGINEERING METHODS,5,40
English,5,42
Chinese,5,43
French,5,44
German,5,45
Japanese,5,46
Portuguese,5,47
Spanish,5,48
LANGUAGES,5,49
Applications des Neurosciences,5,51
Bio Diagnostic,5,52
Biomecanique,5,53
Cadre juridique des dispositifs medicaux,5,54
Conception de dispositifs medicaux electroniques,5,55
Imagerie Medicale,5,56
Introduction a la Biologie,5,57
Le marche du diagnostic medical,5,58
Recherche en Bioelectronique,5,59
Rencontre avec les entreprises,5,60
BIO-MEDICAL DEVICES (BMD),5,61
Recoltes d'Energie et Sources Continues,5,63
Alimentation d'Objets Autonomes,5,64
Energies Renouvelables,5,65
Antennes et Communications Basse Consommation,5,66
Visites et seminaires,5,67
ELECTRONICS AND ENERGY (E&E),5,68
Optimisation pour l'aide a la Decision,5,70
e-Business et Bases de Donnees,5,71
Planification de la Supply Chain,5,72
Communication a courte portee,5,73
Management de la Supply Chain,5,74
Visites et Seminaires,5,75
INFORMATION TECHNOLOGIES AND SUPPLY CHAIN (ITS),5,76
Attaques par injection de fautes des circuits securises ,5,78
Biometrie,5,79
Cryptographie,5,80
Securite logicielle,5,81
Securite materielle appliquee aux algos PK,5,82
Tags RFID,5,83
Securite Web et Reseaux,5,84
Algorithmie pour la Cryptographie,5,85
Cybersecurite de Windows,5,86
Reseaux,5,87
Attaques materielles contre un AES,5,88
Droit sur la securite / Certification,5,89
MOBILITY AND SECURITY (M&S),5,90
Electronics and Energy - Project,6,1
Bio-Medical Devices - Project,6,2
Information Technologies and Supply Chain - Project,6,3
Mobility and Security - Project,6,4
PROJECT,6,5
Innov'Action,6,7
INNOV'ACTION,6,8
Workshop: Analog ST,6,10
Workshop: Cryptomonnaies et Blockchain,6,11
Workshop: Deep learning for people in a hurry,6,12
Workshop: Etude de TLS 1.3,6,13
Workshop: Le design au service de la conception des services numeriques,6,14
Workshop: Tools for dectection and treatment of cancer,6,15
WORKSHOP,6,16
End of Program Internship,6,18
END OF PROGRAM INTERNSHIP,6,19
